row_id,year,month,mdate,sensor_id,sensor_name,pedestrain_counts,rank
429,2009,December,12,12,New Quay,7239,10.0
430,2009,December,13,4,Town Hall (West),33257,1.0
431,2009,December,13,2,Bourke Street Mall (South),27941,2.0
432,2009,December,13,1,Bourke Street Mall (North),22622,3.0
433,2009,December,13,3,Melbourne Central,21887,4.0
434,2009,December,13,5,Princes Bridge,21722,5.0
435,2009,December,13,6,Flinders Street Station Underpass,18371,6.0
436,2009,December,13,16,Australia on Collins,11618,7.0
437,2009,December,13,15,State Library,11387,8.0
438,2009,December,13,11,Waterfront City,9889,9.0
439,2009,December,13,14,Sandridge Bridge,7662,10.0
440,2009,December,14,4,Town Hall (West),39486,1.0
441,2009,December,14,2,Bourke Street Mall (South),33906,2.0
442,2009,December,14,6,Flinders Street Station Underpass,28552,3.0
443,2009,December,14,1,Bourke Street Mall (North),26520,4.0
444,2009,December,14,13,Flagstaff Station,25817,5.0
445,2009,December,14,3,Melbourne Central,24729,6.0
446,2009,December,14,5,Princes Bridge,23106,7.0
447,2009,December,14,16,Australia on Collins,20599,8.0
448,2009,December,14,15,State Library,16634,9.0
449,2009,December,14,17,Collins Place (South),15504,10.0
450,2009,December,15,4,Town Hall (West),40757,1.0
451,2009,December,15,2,Bourke Street Mall (South),33901,2.0
452,2009,December,15,6,Flinders Street Station Underpass,29704,3.0
453,2009,December,15,1,Bourke Street Mall (North),29325,4.0
454,2009,December,15,3,Melbourne Central,26674,5.0
455,2009,December,15,13,Flagstaff Station,25906,6.0
456,2009,December,15,5,Princes Bridge,24284,7.0
457,2009,December,15,16,Australia on Collins,22094,8.0
458,2009,December,15,15,State Library,16096,9.0
459,2009,December,15,17,Collins Place (South),15492,10.0
460,2009,December,16,4,Town Hall (West),35695,1.0
461,2009,December,16,2,Bourke Street Mall (South),29874,2.0
462,2009,December,16,6,Flinders Street Station Underpass,27486,3.0
463,2009,December,16,1,Bourke Street Mall (North),25072,4.0
464,2009,December,16,3,Melbourne Central,24404,5.0
465,2009,December,16,13,Flagstaff Station,24285,6.0
466,2009,December,16,5,Princes Bridge,20665,7.0
467,2009,December,16,16,Australia on Collins,19838,8.0
468,2009,December,16,15,State Library,16097,9.0
469,2009,December,16,17,Collins Place (South),14533,10.0
470,2009,December,17,4,Town Hall (West),36956,1.0
471,2009,December,17,2,Bourke Street Mall (South),36087,2.0
472,2009,December,17,6,Flinders Street Station Underpass,27085,3.0
473,2009,December,17,13,Flagstaff Station,27014,4.0
474,2009,December,17,1,Bourke Street Mall (North),26380,5.0
475,2009,December,17,3,Melbourne Central,22518,6.0
476,2009,December,17,16,Australia on Collins,21772,7.0
477,2009,December,17,5,Princes Bridge,19914,8.0
478,2009,December,17,17,Collins Place (South),15258,9.0
479,2009,December,17,18,Collins Place (North),13528,10.0
480,2009,December,18,4,Town Hall (West),47426,1.0
481,2009,December,18,2,Bourke Street Mall (South),42449,2.0
482,2009,December,18,6,Flinders Street Station Underpass,35279,3.0
483,2009,December,18,1,Bourke Street Mall (North),34417,4.0
484,2009,December,18,3,Melbourne Central,31787,5.0
485,2009,December,18,5,Princes Bridge,31587,6.0
486,2009,December,18,16,Australia on Collins,25147,7.0
487,2009,December,18,13,Flagstaff Station,24071,8.0
488,2009,December,18,15,State Library,18752,9.0
489,2009,December,18,17,Collins Place (South),14792,10.0
490,2009,December,19,4,Town Hall (West),39087,1.0
491,2009,December,19,2,Bourke Street Mall (South),33165,2.0
492,2009,December,19,1,Bourke Street Mall (North),27820,3.0
493,2009,December,19,3,Melbourne Central,26937,4.0
494,2009,December,19,5,Princes Bridge,22011,5.0
495,2009,December,19,6,Flinders Street Station Underpass,20593,6.0
496,2009,December,19,16,Australia on Collins,14799,7.0
497,2009,December,19,15,State Library,14187,8.0
498,2009,December,19,14,Sandridge Bridge,8323,9.0
499,2009,December,19,12,New Quay,7655,10.0
500,2009,December,20,4,Town Hall (West),34939,1.0
501,2009,December,20,2,Bourke Street Mall (South),30141,2.0
502,2009,December,20,1,Bourke Street Mall (North),24551,3.0
503,2009,December,20,3,Melbourne Central,22659,4.0
504,2009,December,20,5,Princes Bridge,21477,5.0
505,2009,December,20,6,Flinders Street Station Underpass,19664,6.0
506,2009,December,20,15,State Library,11819,7.0
507,2009,December,20,11,Waterfront City,11284,8.0
508,2009,December,20,16,Australia on Collins,11164,9.0
509,2009,December,20,14,Sandridge Bridge,8231,10.0
510,2009,December,21,4,Town Hall (West),43511,1.0
511,2009,December,21,2,Bourke Street Mall (South),41657,2.0
